ethnicity,race,adams,allen,bartholomew,benton,blackford,boone,brown,carroll,cass,clark,clay,clinton,crawford,daviess,dearborn,decatur,dekalb,delaware,dubois,elkhart,fayette,floyd,fountain,franklin,fulton,gibson,grant,greene,hamilton,hancock,harrison,hendricks,henry,howard,huntington,jackson,jasper,jay,jefferson,jennings,johnson,knox,kosciusko,lagrange,lake,laporte,lawrence,madison,marion,marshall,martin,miami,monroe,montgomery,morgan,newton,noble,ohio,orange,owen,parke,perry,pike,porter,posey,pulaski,putnam,randolph,ripley,rush,st. joseph,scott,shelby,spencer,starke,steuben,sullivan,switzerland,tippecanoe,tipton,union,vanderburgh,vermillion,vigo,wabash,warren,warrick,washington,wayne,wells,white,whitley
yup'ik,native american,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mexican,hispanic,1385,18945,4431,431,184,1080,164,522,3614,4868,191,4650,99,1000,396,446,887,1654,1569,24764,165,1572,328,133,827,377,2433,304,7312,1455,403,2979,636,1929,569,2268,1556,489,456,483,3311,537,5587,1418,69498,5216,626,3647,66103,3514,24,537,2721,1571,563,688,4678,5911,232,160,99,127,46,10695,112,327,539,512,439,170,18033,313,1390,502,671,933,212,17,11626,227,0,3676,36,1933,646,119,845,250,1256,454,934,406
puerto rican,hispanic,24,1972,195,0,0,100,14,27,170,380,46,85,30,121,27,5,127,406,1,1660,56,246,26,87,0,50,159,65,1018,0,72,378,91,93,52,168,224,0,381,0,574,68,114,10,14097,957,5,448,5589,237,3,121,605,72,43,0,33,5853,0,21,70,0,0,3597,102,20,137,29,44,0,1322,19,38,13,64,117,18,52,529,0,1,339,130,263,19,2,59,11,327,35,48,26
cuban,hispanic,0,437,13,0,0,0,0,15,58,128,0,0,14,0,0,0,23,22,129,57,0,94,0,0,0,0,4,14,415,31,69,133,0,50,16,0,0,0,0,0,45,5,48,32,772,136,0,12,1601,231,0,0,193,0,99,0,0,58,0,48,0,16,0,262,0,5,34,13,0,0,359,0,11,0,0,18,0,79,369,0,0,81,2,105,10,0,39,0,9,0,0,0
dominican,hispanic,16,89,0,0,0,17,0,3,4,99,0,2,0,0,0,27,0,46,0,324,0,31,0,0,0,2,9,0,81,0,0,187,0,18,0,0,5,0,0,14,0,6,0,0,172,96,0,9,1289,56,0,21,5,0,0,0,0,11,0,0,0,0,0,192,0,0,9,0,0,0,46,0,0,0,0,0,9,0,104,0,0,3,0,43,0,0,0,4,3,58,0,0
costa rican,hispanic,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,10,0,0,0,4,0,175,12,0,8,0,0,0,0,0,0,0,20,0,16,44,0,48,108,13,0,0,21,0,39,0,0,29,0,0,0,0,15,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,48,0,0,0
guatemalan,hispanic,0,1911,103,7,0,22,16,41,822,61,0,59,0,14,43,0,1,71,153,242,0,8,0,0,0,4,0,0,392,0,45,275,23,114,0,135,9,0,0,0,186,20,34,0,397,27,0,90,2828,0,0,17,38,0,16,0,0,0,48,0,0,27,0,86,0,0,0,0,0,0,172,0,0,75,0,68,25,0,213,0,0,31,0,62,16,0,91,5,4,0,9,15
honduran,hispanic,27,87,153,0,0,0,0,0,67,64,0,18,0,76,0,0,0,29,0,617,0,0,0,0,173,0,29,0,218,0,55,76,11,87,0,20,0,0,0,0,246,0,59,0,425,0,0,11,4883,202,0,2,23,0,0,0,0,0,0,0,0,0,0,59,0,0,27,0,6,0,105,0,0,0,15,6,19,0,160,0,0,14,0,83,0,0,26,0,0,88,10,0
nicaraguan,hispanic,0,89,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,18,59,20,0,0,16,0,0,29,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,242,11,0,20,888,11,0,29,62,0,124,0,0,7,0,0,0,0,0,27,0,0,0,0,0,0,79,0,22,0,25,0,0,0,67,0,0,101,0,0,0,0,0,0,0,0,0,0
panamanian,hispanic,0,39,0,0,0,0,18,0,0,0,11,0,1,0,0,0,0,86,0,4,0,0,0,0,0,0,0,0,63,0,0,130,0,17,0,0,0,0,0,0,0,0,0,0,49,0,0,0,309,0,0,6,68,0,3,0,10,0,0,0,0,0,0,21,0,0,0,0,0,0,104,0,0,0,13,0,0,0,12,0,0,47,0,33,0,0,0,0,57,0,3,0
salvadoran,hispanic,8,712,105,0,0,0,0,158,121,257,0,31,0,339,0,0,0,0,891,949,7,61,0,0,0,0,0,0,292,0,9,242,12,98,0,101,98,3,0,44,67,0,0,0,367,171,0,100,4026,8,0,0,24,3,0,169,59,0,0,0,0,23,6,124,0,0,46,150,17,1,379,0,55,0,0,2,0,0,407,35,0,14,0,21,0,0,0,0,68,0,887,0
other central american,hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
argentinean,hispanic,0,10,16,0,0,54,0,0,0,0,0,1,0,0,46,0,0,52,0,105,0,0,0,0,0,0,0,0,228,0,0,70,0,0,12,0,0,0,0,0,0,0,22,0,153,0,0,8,171,0,0,0,45,0,0,0,0,7,0,0,0,0,0,73,0,0,16,34,0,0,201,0,15,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,1,0
bolivian,hispanic,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,16,0,0,12,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
chilean,hispanic,0,10,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,14,0,17,0,0,0,0,0,0,0,0,0,0,190,0,0,100,189,0,0,0,145,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,77,0,0,0,21,0,0,0,21,0,0,0,0,0,35,0,0,0,0,0,0,0
colombian,hispanic,16,285,7,0,0,24,0,0,0,34,0,5,0,0,0,0,45,48,87,99,0,9,0,0,0,6,0,0,17,38,0,88,0,0,0,0,0,0,0,35,19,0,3,0,390,19,7,6,644,12,10,0,187,0,0,0,0,0,0,0,0,0,0,8,50,0,43,0,0,0,158,0,0,0,0,0,6,0,262,0,0,56,0,0,0,0,0,0,10,9,0,6
ecuadorian,hispanic,0,369,37,0,0,0,0,0,9,14,0,0,0,0,0,0,9,0,78,76,0,21,0,0,0,0,0,0,492,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,163,18,0,30,221,0,0,0,40,0,0,0,0,5,0,0,16,0,0,95,0,0,0,0,0,0,58,0,0,0,0,0,0,0,83,0,0,11,0,0,0,0,0,0,24,0,0,0
paraguayan,hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peruvian,hispanic,27,187,96,0,0,0,0,0,64,23,0,0,0,0,56,0,0,11,0,41,10,51,0,0,0,0,0,0,72,0,0,558,0,9,36,0,0,8,5,0,162,0,0,0,176,56,0,0,810,162,0,0,191,99,0,0,42,0,0,0,0,0,0,41,0,0,0,0,0,0,19,0,14,0,0,0,0,0,81,0,0,0,0,25,0,0,0,0,0,25,8,0
uruguayan,hispanic,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
venezuelan,hispanic,0,55,0,0,0,16,0,0,0,26,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,17,0,153,65,10,124,0,0,0,0,0,0,0,0,0,0,0,0,105,14,48,18,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,404,0,6,0,0,0,0,0,131,0,0,1,0,36,0,0,0,0,0,0,0,0
other south american,hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spaniard,hispanic,1,266,14,0,0,379,0,12,27,30,0,15,0,0,24,19,64,78,16,152,0,27,0,0,14,1,0,17,439,0,0,191,0,62,67,104,60,0,4,69,97,0,42,0,1481,21,0,152,498,13,0,14,310,29,10,0,0,0,0,0,6,37,0,279,20,14,0,0,0,68,187,150,28,0,0,22,0,0,618,0,0,160,0,56,17,0,30,63,0,32,7,18
spanish,hispanic,2,377,8,0,0,5,10,0,18,26,0,0,0,3,0,0,0,73,0,17,0,83,0,0,0,6,0,0,96,0,1,0,8,59,22,7,24,0,0,0,0,35,4,0,351,3,6,35,482,10,0,6,89,5,13,2,0,5,0,0,0,8,0,415,0,0,0,0,3,0,161,13,16,0,0,0,0,0,35,0,0,14,0,0,0,0,0,0,7,0,0,43
spanish american,hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
black,black,374,50623,2391,112,109,1333,137,178,782,10148,294,428,51,662,581,211,190,9719,479,14532,663,5147,118,50,298,1014,6171,237,14615,2046,240,11224,1614,7397,416,602,491,142,851,436,3832,1378,1218,92,125196,14148,420,12363,277882,622,63,2031,6563,642,622,68,235,77,335,250,414,687,167,7539,576,142,1430,363,236,288,39593,247,706,235,170,114,952,173,10998,135,8,19913,97,9226,349,73,1274,202,4494,282,209,275
asian indian,asian,25,2450,2954,8,0,942,0,0,0,25,0,16,0,0,0,94,0,673,125,274,0,108,0,0,0,10,0,0,7446,60,0,1548,0,172,138,52,3,0,0,0,2296,49,424,10,1605,98,83,40,6784,5,0,2,1597,96,236,0,10,0,7,0,0,15,25,966,40,0,24,0,203,0,1580,0,66,0,1,0,0,33,3227,0,0,250,0,766,0,0,407,0,74,28,0,0
bangladeshi,asian,0,33,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,10,0,0,0
bhutanese,asian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burmese,asian,0,3373,0,0,0,0,0,0,28,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,46,0,0,6596,0,0,0,168,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,4,0,0,4,0,0,12,0,0,7,0,0,0,0,0,0,0,0,0,0
cambodian,asian,0,84,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,58,0,0,0,0,5,0,301,0,66,0,0,0,0,0,0,0,0,0,0,2,26,0,88,32,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0
"chinese, mainland",asian,0,916,816,0,23,333,0,0,87,47,4,33,0,8,30,6,54,458,17,693,0,311,0,5,38,8,200,35,4326,238,23,538,108,328,111,299,69,12,135,87,372,193,43,4,1270,56,23,156,4308,61,0,24,3668,0,73,49,21,0,60,24,0,11,25,442,35,49,133,0,66,0,1665,0,45,21,78,14,113,0,7645,0,0,527,0,208,29,0,194,12,45,23,3,40
filipino,asian,74,587,166,0,32,55,45,17,67,289,38,0,7,0,14,208,37,259,127,276,22,88,7,36,34,47,219,11,903,178,37,586,23,122,9,67,17,10,19,10,281,13,13,0,1641,157,57,86,2640,30,20,90,498,122,73,35,111,11,0,18,0,10,27,444,0,17,8,32,0,0,594,95,19,0,38,31,0,17,592,0,27,421,16,492,0,1,240,18,328,23,39,89
hmong,asian,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indonesian,asian,0,2,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,28,0,0,0,0,3,0,0,15,0,7,28,0,17,0,0,0,0,2,0,0,0
japanese,asian,0,205,542,0,0,11,0,0,34,0,0,0,7,20,0,0,0,0,0,57,0,96,0,0,0,0,43,0,532,56,0,112,33,42,0,331,0,26,38,0,293,2,29,0,213,56,0,61,665,8,0,2,335,0,31,0,0,0,0,4,0,0,0,27,7,0,138,0,0,2,168,0,150,0,0,23,0,0,445,0,0,331,15,67,0,0,0,0,39,7,3,14
korean,asian,24,836,52,0,0,188,17,0,14,172,21,0,0,40,90,53,27,52,0,138,9,51,0,0,13,27,91,10,1519,28,0,92,0,61,23,0,0,63,0,0,107,16,78,39,609,81,11,53,1343,0,0,6,1507,68,10,0,78,0,6,4,0,0,50,69,0,15,20,0,0,12,456,0,6,0,0,14,0,0,1720,0,0,197,0,268,27,0,131,18,11,32,0,12
laotian,asian,0,433,16,0,0,0,0,0,38,24,0,0,0,0,0,0,0,0,0,268,0,4,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,110,27,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0
malaysian,asian,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,150,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
mongolian,asian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,47,0,0,0,0,19,0,0,0,0,0,0,0,46,0,0,0,3,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nepalese,asian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,75,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,9,0,0,50,0,0,66,0,0,0,0,65,0,22,0,0,0
okinawan,asian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pakistani,asian,0,398,254,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,1389,0,0,551,4,0,0,0,0,0,0,0,0,0,26,0,320,15,0,0,525,0,0,0,134,0,0,0,0,0,0,0,0,0,0,24,0,0,14,0,0,0,12,0,0,0,0,6,0,0,215,0,0,0,0,32,0,0,308,0,9,0,0,0
sri lankan,asian,0,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,25,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4
taiwanese,asian,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,3,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,107,0,0,0,161,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,190,0,0,0,0,53,10,0,0,0,12,0,0,0
thai,asian,0,960,45,0,0,0,57,0,0,0,0,0,0,0,0,0,0,92,0,10,0,20,0,0,0,6,0,60,48,0,0,27,2,19,0,0,11,0,10,0,33,0,1,0,57,83,0,24,651,11,0,4,14,0,0,0,0,0,0,0,0,0,0,89,6,0,0,0,0,0,57,0,0,0,0,3,52,0,60,0,0,43,0,10,0,0,5,0,71,1,0,0
vietnamese,asian,3,1567,110,0,0,18,0,9,21,112,0,0,0,0,0,22,0,29,0,128,0,75,0,22,0,0,6,0,630,2,0,356,43,297,0,21,0,0,61,26,659,34,84,0,532,11,17,208,938,85,0,0,300,0,29,0,72,9,31,45,0,0,0,120,23,0,16,28,0,0,468,0,0,10,0,16,0,0,389,0,0,218,0,107,0,0,116,0,39,27,0,0
